GENE	OCCURRENCE	SOURCE
ARID3C	2	ONCOKB
ARID4A	2	ONCOKB
ARID4B	2	ONCOKB
ARID5A	2	ONCOKB
ARNT	2	ONCOKB
ATG5	2	ONCOKB
ATP1A1	2	ONCOKB
ATP6AP1	2	ONCOKB
ATP6V1B2	2	ONCOKB
ATXN2	2	ONCOKB
ATXN7	2	ONCOKB
BACH2	2	ONCOKB
BCL11A	2	ONCOKB
BCL9L	2	ONCOKB
BRD3	2	ONCOKB
BRSK1	2	ONCOKB
BUB1B	2	ONCOKB
CACNA1D	2	ONCOKB
CAD	2	ONCOKB
CANT1	2	ONCOKB
CARS1	2	ONCOKB
CBLB	2	ONCOKB
CCN6	2	ONCOKB
CCNB1IP1	2	ONCOKB
CD28	2	ONCOKB
CDH11	2	ONCOKB
CDX2	2	ONCOKB
CHCHD7	2	ONCOKB
CHD2	2	ONCOKB
CHD4	2	ONCOKB
CILK1	2	ONCOKB
CLIP1	2	ONCOKB
CLTC	2	ONCOKB
CMTR2	2	ONCOKB
COL2A1	2	ONCOKB
CRBN	2	ONCOKB
CREB1	2	ONCOKB
CREB3L1	2	ONCOKB
CRTC1	2	ONCOKB
CTR9	2	ONCOKB
CUL4A	2	ONCOKB
CYP19A1	2	ONCOKB
DDB2	2	ONCOKB
DDX10	2	ONCOKB
DDX5	2	ONCOKB
DDX6	2	ONCOKB
ECT2L	2	ONCOKB
EGR1	2	ONCOKB
EIF3E	2	ONCOKB
ELK4	2	ONCOKB
ELN	2	ONCOKB
EP400	2	ONCOKB
EPHB4	2	ONCOKB
EPOR	2	ONCOKB
EPS15	2	ONCOKB
ERC1	2	ONCOKB
ESCO2	2	ONCOKB
ETAA1	2	ONCOKB
ETS1	2	ONCOKB
EXT1	2	ONCOKB
EZHIP	2	ONCOKB
EZR	2	ONCOKB
FCRL4	2	ONCOKB
FES	2	ONCOKB
FOXF1	2	ONCOKB
FOXO4	2	ONCOKB
FRS2	2	ONCOKB
FSTL3	2	ONCOKB
FURIN	2	ONCOKB
GAB1	2	ONCOKB
GAB2	2	ONCOKB
GABRA6	2	ONCOKB
GAS7	2	ONCOKB
GATA4	2	ONCOKB
GATA6	2	ONCOKB
GID4	2	ONCOKB
GPC3	2	ONCOKB
GPHN	2	ONCOKB
GRM3	2	ONCOKB
GTF2I	2	ONCOKB
H1-5	2	ONCOKB
H2BC8	2	ONCOKB
HEY1	2	ONCOKB
HIRA	2	ONCOKB
HLA-C	2	ONCOKB
HLF	2	ONCOKB
HOXA13	2	ONCOKB
HOXA9	2	ONCOKB
HOXC11	2	ONCOKB
HOXC13	2	ONCOKB
HOXD11	2	ONCOKB
HOXD13	2	ONCOKB
HSD3B1	2	ONCOKB
HSP90AB1	2	ONCOKB
IGH	2	ONCOKB
IGK	2	ONCOKB
IGL	2	ONCOKB
IL21R	2	ONCOKB
IL3	2	ONCOKB
IL6ST	2	ONCOKB
IRF2	2	ONCOKB
ITK	2	ONCOKB
JAZF1	2	ONCOKB
KBTBD4	2	ONCOKB
KEL	2	ONCOKB
KIF5B	2	ONCOKB
KLF5	2	ONCOKB
KSR2	2	ONCOKB
LMNA	2	ONCOKB
LPP	2	ONCOKB
LTB	2	ONCOKB
LTK	2	ONCOKB
LYL1	2	ONCOKB
MAD2L2	2	ONCOKB
MAML2	2	ONCOKB
MAP3K7	2	ONCOKB
MEF2C	2	ONCOKB
MERTK	2	ONCOKB
MGAM	2	ONCOKB
MKI67	2	ONCOKB
MLLT6	2	ONCOKB
MOB3B	2	ONCOKB
MPEG1	2	ONCOKB
MRTFA	2	ONCOKB
MSN	2	ONCOKB
MUC1	2	ONCOKB
MYH9	2	ONCOKB
MYO5A	2	ONCOKB
NAB2	2	ONCOKB
NADK	2	ONCOKB
NCOA2	2	ONCOKB
NCOA4	2	ONCOKB
NDRG1	2	ONCOKB
NFATC2	2	ONCOKB
NFE2	2	ONCOKB
NFKB2	2	ONCOKB
NIN	2	ONCOKB
NRG1	2	ONCOKB
NUMA1	2	ONCOKB
PAK3	2	ONCOKB
PAX8	2	ONCOKB
PBX1	2	ONCOKB
PCM1	2	ONCOKB
PDE4DIP	2	ONCOKB
PDS5B	2	ONCOKB
PER1	2	ONCOKB
PGBD5	2	ONCOKB
PIGA	2	ONCOKB
PIK3C2B	2	ONCOKB
PLAG1	2	ONCOKB
POU2AF1	2	ONCOKB
PPP2R2A	2	ONCOKB
PRCC	2	ONCOKB
PRDM16	2	ONCOKB
PRKACA	2	ONCOKB
PRKDC	2	ONCOKB
PRRX1	2	ONCOKB
PSIP1	2	ONCOKB
PTK7	2	ONCOKB
PTPN1	2	ONCOKB
PTPN13	2	ONCOKB
PTPRO	2	ONCOKB
RABEP1	2	ONCOKB
RANBP2	2	ONCOKB
RAP1GDS1	2	ONCOKB
RELN	2	ONCOKB
REST	2	ONCOKB
RHOH	2	ONCOKB
RNF213	2	ONCOKB
ROBO1	2	ONCOKB
RPL22	2	ONCOKB
RPL5	2	ONCOKB
RPN1	2	ONCOKB
RSPO3	2	ONCOKB
SAMHD1	2	ONCOKB
SCG5	2	ONCOKB
SDC4	2	ONCOKB
SERPINB3	2	ONCOKB
SERPINB4	2	ONCOKB
SETD1A	2	ONCOKB
SETD1B	2	ONCOKB
SETD3	2	ONCOKB
SETD4	2	ONCOKB
SETD5	2	ONCOKB
SETD6	2	ONCOKB
SETD7	2	ONCOKB
SETDB2	2	ONCOKB
SH3GL1	2	ONCOKB
SLC34A2	2	ONCOKB
SLFN11	2	ONCOKB
SMARCA1	2	ONCOKB
SMARCA2	2	ONCOKB
SMG1	2	ONCOKB
SOCS3	2	ONCOKB
SOX10	2	ONCOKB
SP140	2	ONCOKB
SPRTN	2	ONCOKB
SRSF3	2	ONCOKB
SSX4	2	ONCOKB
STAG1	2	ONCOKB
STAT4	2	ONCOKB
TAF1	2	ONCOKB
TAF15	2	ONCOKB
TAL2	2	ONCOKB
TET3	2	ONCOKB
TFG	2	ONCOKB
TPM4	2	ONCOKB
TRA	2	ONCOKB
TRB	2	ONCOKB
TRD	2	ONCOKB
TRG	2	ONCOKB
TRIM24	2	ONCOKB
TRIM27	2	ONCOKB
TRIP11	2	ONCOKB
TRIP13	2	ONCOKB
VAV1	2	ONCOKB
VAV2	2	ONCOKB
WIF1	2	ONCOKB
WRN	2	ONCOKB
XPA	2	ONCOKB
XPC	2	ONCOKB
YWHAE	2	ONCOKB
ZBTB16	2	ONCOKB
ZBTB7A	2	ONCOKB
ZMYM2	2	ONCOKB
ZMYM3	2	ONCOKB
ZNF384	2	ONCOKB
ZNF521	2	ONCOKB
ZNF703	2	ONCOKB
ZNRF3	2	ONCOKB
A1CF	1	ONCOKB
AAMP	1	ONCOKB
ABCB1	1	ONCOKB
ABCC3	1	ONCOKB
ACSL3	1	ONCOKB
ACSL6	1	ONCOKB
ACTB	1	ONCOKB
ADAR	1	ONCOKB
ADARB2	1	ONCOKB
ADGRG4	1	ONCOKB
ADHFE1	1	ONCOKB
AFF3	1	ONCOKB
AGGF1	1	ONCOKB
AGK	1	ONCOKB
AIM2	1	ONCOKB
AIP	1	ONCOKB
AJUBA	1	ONCOKB
AKT1S1	1	ONCOKB
ALDH1A3	1	ONCOKB
ALDH1L2	1	ONCOKB
ALDH2	1	ONCOKB
ALOX15B	1	ONCOKB
ALOX5	1	ONCOKB
ANK1	1	ONCOKB
ANKRD26	1	ONCOKB
APCDD1	1	ONCOKB
APEX1	1	ONCOKB
APH1A	1	ONCOKB
ASCL1	1	ONCOKB
ASMTL	1	ONCOKB
ASPSCR1	1	ONCOKB
ASXL3	1	ONCOKB
ATMIN	1	ONCOKB
ATP2B3	1	ONCOKB
ATRIP	1	ONCOKB
AURKC	1	ONCOKB
BAALC	1	ONCOKB
BABAM2	1	ONCOKB
BACH1	1	ONCOKB
BAX	1	ONCOKB
BIRC5	1	ONCOKB
BRD2	1	ONCOKB
BRD9	1	ONCOKB
BTLA	1	ONCOKB
CASR	1	ONCOKB
CAV1	1	ONCOKB
CBLC	1	ONCOKB
CCAR1	1	ONCOKB
CCDC6	1	ONCOKB
CCNB3	1	ONCOKB
CCT6B	1	ONCOKB
CD19	1	ONCOKB
CD36	1	ONCOKB
CDH2	1	ONCOKB
CDH4	1	ONCOKB
CDKN1C	1	ONCOKB
CHIC2	1	ONCOKB
CHN1	1	ONCOKB
CHTF8	1	ONCOKB
CKS1B	1	ONCOKB
CLP1	1	ONCOKB
CNBP	1	ONCOKB
CNOT3	1	ONCOKB
COL5A1	1	ONCOKB
CPS1	1	ONCOKB
CREM	1	ONCOKB
CRTC3	1	ONCOKB
CSF1	1	ONCOKB
CTC1	1	ONCOKB
CTDNEP1	1	ONCOKB
CYP17A1	1	ONCOKB
DAZAP1	1	ONCOKB
DCTN1	1	ONCOKB
DDR1	1	ONCOKB
DDX4	1	ONCOKB
DDX41	1	ONCOKB
DHX15	1	ONCOKB
DIS3L2	1	ONCOKB
DKK1	1	ONCOKB
DKK2	1	ONCOKB
